cost_bps_per_side,cagr,sharpe,n_rebalances,avg_turnover_per_rebal,annual_cost_drag
0.0,0.0775103169289284,0.5570360558136536,125,0.22800000000000004,0.0
1.0,0.07725131569727872,0.5554912952579372,125,0.22800000000000004,0.00024028103044496492
2.0,0.07699236916508889,0.5539464035303797,125,0.22800000000000004,0.00048056206088992984
5.0,0.07621585766486638,0.5493109542977093,125,0.22800000000000004,0.0012014051522248246
10.0,0.0749227648834625,0.5415827033345207,125,0.22800000000000004,0.002402810304449649
15.0,0.07363103733073162,0.5338514653565039,125,0.22800000000000004,0.003604215456674473
20.0,0.07234067375367359,0.5261174029337969,125,0.22800000000000004,0.004805620608899298
30.0,0.069764033519502,0.5106414556210941,125,0.22800000000000004,0.007208430913348946
50.0,0.06462706573646892,0.47966283203825205,125,0.22800000000000004,0.012014051522248246
75.0,0.05823633942691231,0.4409028845864349,125,0.22800000000000004,0.018021077283372367
100.0,0.05187933857359184,0.4021212060906784,125,0.22800000000000004,0.024028103044496492
